Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Unprovoked,FRENCH POLYNESIA,Hand feeding sharks,M,9,N,Blacktip shark
Unprovoked,FRENCH POLYNESIA,Sitting in the water,M,18,N,Blacktip Reef shark 
Boating,ATLANTIC OCEAN,Transatlantic Rowing,M,27,N,White shark
Unprovoked,REUNION,Swimming,F,22,Y,"Tiger shark, 3.5 m"
Unprovoked,AUSTRALIA,Surfing,M,41,Y,3.5 to 4 m shark
Unprovoked,AUSTRALIA,Surfing,M,35,N,2 m to  3 m shark
Unprovoked,AUSTRALIA,Bodysurfing,M,27,N,1.8 m shark
Boating,AUSTRALIA,Rowing,M,57,N,"Bull shark, 1.3 m"
Provoked,USA,Shark fishing,M,20,N,4' shark
Boating,USA,Fishing,M,27,N,White shark
Boating,AUSTRALIA,Fishing,M,27,N,5 m shark
Unprovoked,AUSTRALIA,Filming,M,17,N,1.5 m shark
Unprovoked,BAHAMAS,Snorkeling,F,34,N,White shark or oceanic whitetip shark
Unprovoked,SOUTH AFRICA,Surfing,M,15,N,"Raggedtooth shark, 1.3 m"
Unprovoked,USA,other,M,12,N,"""A small shark"""
Unprovoked,AUSTRALIA,Surfing,M,27,N,2 m shark
Unprovoked,AUSTRALIA,Spearfishing,M,17,Y,"White shark, 4 to 5 m"
Sea Disaster,GREECE,other,M,27,N,Shark involvement prior to death still to be determined
Unprovoked,USA,Surfing,M,50,N,"White shark, 8' to 10'"
Provoked,AUSTRALIA,Fishing,M,40,N,1.5 m shark
Unprovoked,JAPAN,Diving / Filming,M,27,N,Goblin shark
Unprovoked,AUSTRALIA,Spearfishing,M,17,Y,Tiger shark
Boating,AUSTRALIA,Fishing,M,27,N,White shark
Boating,USA,other,M,27,N,White shark
Unprovoked,USA,Surfing,M,44,N,2' shark
Unprovoked,USA,Snorkeling,M,53,N,1.5 m shark
Unprovoked,USA,Surfing,F,34,N,"Tiger shark, 12'"
Unprovoked,USA,Stand-Up Paddleboarding,F,27,N,Tiger shark
Unprovoked,USA,Surfing,M,27,N,12' to 14' shark
Unprovoked,AUSTRALIA,Surfing,F,13,N,1 m shark
Unprovoked,USA,Standing in inner tube,F,7,N,"Bull shark, 3' to 4'"
Unprovoked,USA,Surfing,M,29,N,Blacktip shark
Unprovoked,USA,Surfing,M,15,N,Blacktip shark
Boating,USA,Kayaking,M,27,N,"White shark, 18' to 20'"
Boating,USA,Kayaking ,M,27,N,White shark
Unprovoked,USA,Surfing,M,28,N,8' to 10' shark
Unprovoked,AUSTRALIA,Surfing,M,23,N,"2 white shark: 13' & 9""8"""
Unprovoked,FRENCH POLYNESIA,Feeding fish,F,36,N,Blacktip shark
Unprovoked,AUSTRALIA,Swimming,M,50,Y,7' shark
Unprovoked,USA,Fishing ,M,43,N,Bull shark
Boating,USA,Kayaking ,F,20,N,"White shark, 12' to 14'"
Provoked,USA,Fishing,M,52,N,3' to 4' shark
Unprovoked,USA,Body surfing,F,13,N,Spinner shark
Unprovoked,USA,Surfing,M,17,N,Spinner shark or blacktip shark
Unprovoked,SPAIN,Swimming,F,30,N,small shark
Unprovoked,USA,Surfing,M,29,N,4' to 6' shark
Provoked,USA,Fishing for sharks,M,27,N,"Bull shark, 4.5' "
Unprovoked,USA,Kite boarding,M,27,N,4' shark
Unprovoked,AUSTRALIA,Spearfishing,M,31,N,reef shark
Unprovoked,USA,Standing,M,27,N," Bull shark, 8'"
Unprovoked,BAHAMAS,Spearfishing,M,27,N,"Bull shark, 9' to 10'"
Unprovoked,USA,Swimming,M,7,N," Bull shark, 5'"
Unprovoked,USA,Boogie boarding,M,10,N,4' tp 5' shark
Unprovoked,SOUTH AFRICA,Surfing,M,20,N,White shark
Unprovoked,USA,Swimming,M,27,N,Possibly juvenile tiger shark
Unprovoked,REUNION,Surfing,M,51,N,1.8 metre shark
Unprovoked,SPAIN,Wading,M,27,N,Angel shark
Unprovoked,USA,Swimming,M,61,N,6' to 8' shark
Unprovoked,USA,Swimming,M,39,N,4' shark
Provoked,USA,Swimming,M,27,N," White shark, 7' "
Unprovoked,USA,Body surfing,M,19,N,4' to 5' shark
Boat,ST. MARTIN,Transatlantic Rowing,M,48,N,Oceanic whitetip shark'
Unprovoked,BAHAMAS,Spearfishing,M,42,N,"Caribbean reef shark, 7' to 8'"
Provoked,AUSTRALIA,Petting a shark,M,27,N," Lemon shark, 3.5 m"
Unprovoked,USA,Standing,M,16,N," Sandbar shark, 3' to 4'"
Unprovoked,AUSTRALIA,Body boarding,M,39,N,"Bronze whaler shark, 1.5m"
Unprovoked,USA,Swimming,F,22,N,Bull shark
Unprovoked,USA,Tagging sharks,F,37,N,Blacktip Reef shark 
Unprovoked,AUSTRALIA,Fell into the water,F,29,N," Bull shark, 1.2m "
Unprovoked,FRANCE,Scuba diving,M,27,N,3m shark
Provoked,AUSTRALIA,Teasing a shark,M,10,N," Tawney nurse shark, 1m"
Unprovoked,AUSTRALIA,Surfing,M,35,N," white shark, 15' "
Unprovoked,USA,Surfing,M,12,N,Shark involvement not confirmed
Unprovoked,USA,Swimming,F,40,N,4' to 5' shark
Unprovoked,SOUTH AFRICA,Diving,M,27,N,Cow shark
Unprovoked,USA,Surfing,M,23,N,3' shark
Unprovoked,AUSTRALIA,Spearfishing,M,27,N,reef shark?
Boat,SOUTH AFRICA,Shark watching,M,27,N,White shark
Provoked,SOUTH AFRICA,Fishing,M,27,N," Raggedtooth shark, 2m"
Unprovoked,AUSTRALIA,Swimming,F,63,Y,3 m to 4 m white shark
Unprovoked,SOUTH AFRICA,Swimming,M,66,Y,2 m shark
Unprovoked,USA,Kite Surfing,M,27,N,4' to 5' shark
Unprovoked,AUSTRALIA,Swimming,M,27,N,Wobbegong shark
Unprovoked,USA,Surfing,M,21,N,Blacktip or spinner shark?
Unprovoked,FRENCH POLYNESIA,Kitesurfing,M,21,N,Blacktip reef shark 
Unprovoked,NEW ZEALAND,Surfing,M,28,N,7-gill shark?
Provoked,AUSTRALIA,Fishing,M,27,N,1m shark
Unprovoked,NEW ZEALAND,Spearfishing,M,24,N,7-gill shark
Unprovoked,USA,Free diving / Photographing pilot whales,M,27,N,Oceanic whitetip shark
Boating,NEW ZEALAND,Filming a documentary,M,27,N,"White shark, 6 m"
Unprovoked,NEW CALEDONIA,Snorkeling,M,37,N,Reported to involve a bull shark
Unprovoked,SOUTH AFRICA,Surfing,M,19,N,"White shark, 3m "
Unprovoked,USA,Boogie boarding,M,29,N,"Tiger shark, 10' to 12'"
Unprovoked,USA,Surfing,M,30,N,4' to 6' shark
Unprovoked,AUSTRALIA,Surfing,M,26,N," Wobbegong shark, 1.6 to 1.8m "
Unprovoked,AUSTRALIA,Body boarding,M,19,Y,"Tiger shark, 3m "
Unprovoked,AUSTRALIA,Surfing,M,35,Y,Thought to involve a white shark
Unprovoked,USA,Surfing,M,25,N,"White shark, 10 '"
Unprovoked,AUSTRALIA,Surfing,M,27,N,Reported to involve a white shark
Unprovoked,USA,Kiteboarding,M,46,N,Tiger shark
Unprovoked,AUSTRALIA,Snorkeling,F,60,N,"Blacktip reef shark, 1m"
Unprovoked,REUNION,Body boarding,M,24,N,Thought to involve a bull shark
Unprovoked,AUSTRALIA,Diving for crayfish,M,27,N,Reported to involve a 4 m white shark
Unprovoked,AUSTRALIA,Surfing,M,41,N,Wobbegong shark
Unprovoked,USA,Diving ,M,45,N,"Whitetip reef shark, 4' to 6'"
Unprovoked,USA,Surfing,M,25,N,Tiger shark
Unprovoked,USA,Wading,M,6,N,Nurse shark?
